,THD,Iref_error,Imean,Istd,Ib,Ic,Iref_rollmean,Ic_Ia_ratio,dImean_dt,dVc_dt,is_zero_Iref,dVb_dt,Ib_rollmean,Power_factor,dVa_dt,Apparent_Power,Power_VbIb,Vmean,Ic_rollstd,Vb_rollstd,Idiff_ca,dIa_dt,Va_rollstd,Ia_rollstd,Power_VcIc
is_zero_Iref,0.005145581364580603,0.0050370256265524875,0.004420776920212915,0.002983658357386496,-0.001007776852092198,-0.002634816416733292,-0.0007270624250700487,0.002323126493128669,-0.0010372035921070745,-0.001860569879300865,1.0,0.0019557869207550206,0.0002701830299823038,0.0029804006441046483,-3.619173664508594e-05,0.0008510168620870184,-2.112706006837383e-05,-0.0047626082932443825,0.005844068206152054,-0.008247856979325206,-0.003881961945306815,0.02947573580028586,0.9948306390218307,0.0022129215388623663,0.0009218220766869692
dVb_dt,0.00035331506565151606,0.3755264075792908,-0.17297469517795694,0.020516408591356932,0.00458132574400948,0.007565666558831147,0.0038172354261928605,0.0030208516833669158,0.0008001548452295092,-0.5012475941087678,0.0019557869207550206,1.0,0.008288268780385917,0.0009346312417682288,-0.44281910332264907,-0.0023258032200064193,-0.0001791053808033876,0.002677529420696059,0.002096903378948559,0.0009480303119621882,-0.009596525100208276,-0.001465540752810024,0.002284980569893734,0.02262128779872451,0.010536740174129042
Ib_rollmean,-0.07591341117324142,0.002323228090065707,0.03518002172559546,0.015396987188005815,0.9351071657267437,-0.02643285785425469,-0.22276259562997913,0.0002997406128671972,0.0028653193940707975,-0.031656484483138576,0.0002701830299823038,0.008288268780385917,1.0,-0.0006431023350753597,0.025572872706592465,0.018746254804572867,-0.4510373659032852,-0.003946229943820741,-0.08510021703597138,-0.0572318935515123,0.038909575958492676,0.003148891384396376,-0.0012031113425637504,-0.17397000233009907,-0.07757749419565815
Power_factor,-0.001474422475370109,-0.0005505765253148269,-0.0009575849689048065,0.0014235684569565454,0.00017134498762867847,0.0006122821380356713,0.0002624645356520555,2.266834752132915e-06,7.910198302918249e-06,-0.0051130283897119115,0.0029804006441046483,0.0009346312417682288,-0.0006431023350753597,1.0,0.0053168221836455785,4.8035217598908595e-05,-0.0002756739266330777,-4.295948474016557e-05,0.0007692950423256605,0.001814697720713273,0.0015275001983529846,0.10002646971856234,0.0030978675983506774,-0.00043788901892696563,0.000828630164874395
dVa_dt,-0.0021162507250524557,-0.1911884328312544,0.17182130092953876,0.00085854770215075,0.023715246750967377,-0.003189271950338059,-0.0027587990596397547,-0.0014861922873449151,0.0016161212943488661,-0.44925187029666286,-3.619173664508594e-05,-0.44281910332264907,0.025572872706592465,0.0053168221836455785,1.0,-0.004454218134247128,-0.009631241996359497,-0.002621926094118828,0.0029660433144296206,-0.0001660062676526885,-0.15921885716390716,-0.005533715752244593,-0.00035848708361589036,-0.007708817754498812,-0.017133865638516304
Apparent_Power,0.00032896654196341667,-0.0006766714592677266,-0.0007782236342530483,0.010940634258772697,0.01414407623092783,-0.013636218088437223,0.042207341034311036,0.002292821804589545,0.19249731560883568,-0.0012784027101285704,0.0008510168620870184,-0.0023258032200064193,0.018746254804572867,4.8035217598908595e-05,-0.004454218134247128,1.0,0.0033222919370362904,-0.004928636727548034,0.09007805545714086,0.022980036825257875,0.009085546819299533,-7.013083586583939e-05,0.0021194293883663555,0.03206125319378237,-0.0027225831939029816
Power_VbIb,0.08014421852149181,-0.0002619568299629389,-0.0075686401194614145,-0.002174912748907345,-0.44289599809306623,0.047240630206449294,0.3516856383806599,0.0012951502807161093,0.00194932178908432,0.007029510690483585,-2.112706006837383e-05,-0.0001791053808033876,-0.4510373659032852,-0.0002756739266330777,-0.009631241996359497,0.0033222919370362904,1.0,0.0015772485709017712,0.18922681251128487,0.036559636855084524,-0.049616987823186604,0.0014085110663424692,0.010730175786218363,0.22687943925138096,0.21518695271994023
Vmean,0.009139824354613697,0.0062319642281745986,-0.006847105736439133,0.007111144123417815,-0.00673122266532857,-0.005329810679667745,-0.004810355858792885,-0.00019330930561428704,-0.002716348903733751,0.000334732552773784,-0.0047626082932443825,0.002677529420696059,-0.003946229943820741,-4.295948474016557e-05,-0.002621926094118828,-0.004928636727548034,0.0015772485709017712,1.0,0.00036360892553081607,0.005544653299998471,0.013258701413012313,-0.00027574732127171584,-0.004436801085643147,0.005244453238766545,-1.9501570671149484e-05
Ic_rollstd,0.09257953956933947,0.001618793838914749,-0.03207115764859616,0.007137913675148359,-0.1823666184967098,-0.2526515003022816,0.4654414939106529,0.0004586549932112553,-0.00011871955900610478,-0.005350000329728044,0.005844068206152054,0.002096903378948559,-0.08510021703597138,0.0007692950423256605,0.0029660433144296206,0.09007805545714086,0.18922681251128487,0.00036360892553081607,1.0,0.1006229481651933,-0.018112428997912173,0.008515490996752126,0.021920377605645563,0.4174806565172525,0.1539699229315769
Vb_rollstd,-0.025006741597014534,0.0032058926035767425,-0.005577854295213483,0.004046083558438532,-0.05229656911378682,-0.015700300841744917,0.1289622578304886,-0.006223508247331368,0.0020416830769523307,-0.003038439772882918,-0.008247856979325206,0.0009480303119621882,-0.0572318935515123,0.001814697720713273,-0.0001660062676526885,0.022980036825257875,0.036559636855084524,0.005544653299998471,0.1006229481651933,1.0,0.00010365278966266497,-0.008773711338372302,-0.04291513229741182,0.12149004934673521,0.09381644166424194
Idiff_ca,-0.013709549983599337,-0.03566876768111751,-0.42140149870430865,0.003973994338160994,0.028641856091434235,0.12582864762486337,-0.011729568001996319,-0.0005899206850048796,0.002038276560108037,0.16740300464656546,-0.003881961945306815,-0.009596525100208276,0.038909575958492676,0.0015275001983529846,-0.15921885716390716,0.009085546819299533,-0.049616987823186604,0.013258701413012313,-0.018112428997912173,0.00010365278966266497,1.0,0.01549082966519494,-0.00390257590414689,-0.005102198079184358,-0.02251650788814388
dIa_dt,-0.003075474658222356,-0.005561923834693455,-0.008884941705576115,0.01425260536068252,0.004389394483350996,0.0026218376968775996,0.008279744035646495,0.00012992208000831075,0.00034636258665516804,0.007588774727160661,0.02947573580028586,-0.001465540752810024,0.003148891384396376,0.10002646971856234,-0.005533715752244593,-7.013083586583939e-05,0.0014085110663424692,-0.00027574732127171584,0.008515490996752126,-0.008773711338372302,0.01549082966519494,1.0,0.029369490685398937,-0.003708388341009302,0.00019621205509389093
Va_rollstd,0.02015824042806627,0.00488973178117469,0.0036657310598623553,0.002703506610835739,-0.011055605607027284,-0.018213400437059428,0.004998644253888827,0.0016997504432073533,-0.0003274576942796178,-0.0019610489891915043,0.9948306390218307,0.002284980569893734,-0.0012031113425637504,0.0030978675983506774,-0.00035848708361589036,0.0021194293883663555,0.010730175786218363,-0.004436801085643147,0.021920377605645563,-0.04291513229741182,-0.00390257590414689,0.029369490685398937,1.0,0.033162285945236715,0.010593720908561352
Ia_rollstd,0.0028879012076728793,0.009660710031174753,-0.04393060269961388,0.0021860348830803713,-0.25988331906936973,-0.35030043709370723,0.3821153581335197,0.0017751414392123705,0.003089422488243295,-0.016792635278648143,0.0022129215388623663,0.02262128779872451,-0.17397000233009907,-0.00043788901892696563,-0.007708817754498812,0.03206125319378237,0.22687943925138096,0.005244453238766545,0.4174806565172525,0.12149004934673521,-0.005102198079184358,-0.003708388341009302,0.033162285945236715,1.0,0.17774957621409063
Power_VcIc,0.044426688762716035,0.01650619973535191,-0.09195493127969545,0.002756281862368792,-0.07846030580302463,-0.2585867120748991,0.33276117337547895,0.0031935316422328905,-0.028230529652004042,0.003932735926913617,0.0009218220766869692,0.010536740174129042,-0.07757749419565815,0.000828630164874395,-0.017133865638516304,-0.0027225831939029816,0.21518695271994023,-1.9501570671149484e-05,0.1539699229315769,0.09381644166424194,-0.02251650788814388,0.00019621205509389093,0.010593720908561352,0.17774957621409063,1.0
