Feature,MI_Score
Apparent_Power,0.32155929011132667
dImean_dt,0.3192390251225036
Iref_error,0.27764959751833185
Imean,0.27435975153872394
Ic_rollmean,0.2645952505173571
Ib_rollmean,0.260985748022041
Ia_rollmean,0.26004286320072956
Iref_rollmean,0.22306781548554633
Ic,0.21840026812496616
Ia,0.21711075019469495
Ib,0.21655594472609319
Idiff_ab,0.20664439361047626
Power_VbIb,0.19646557252334507
Istd,0.19610811013188556
Power_VaIa,0.19325422385158242
Power_VcIc,0.1920124014211615
Vmean,0.18826928842150492
Iref_rollstd,0.15530205384208418
Ib_rollstd,0.153659701909171
Vb,0.14704050189115514
Vc,0.14129656413572245
Va,0.13526493839321208
Idiff_bc,0.1250591820411593
Ic_rollstd,0.12250313467210128
Idiff_ca,0.12196679757893758
Ia_rollstd,0.11692269435186042
Vdiff_ab,0.11098411993800394
THD,0.10515092399355308
Vstd,0.10216564408597506
Vdiff_ca,0.09919174637073702
Vdiff_bc,0.09676487877108308
is_current_imbalanced,0.08788465928161981
is_THD_below_nominal,0.07724805308473726
THD_rollstd,0.06383511254408569
dIb_dt,0.06271362836549388
dIc_dt,0.059988991150988324
is_current_surge,0.05579839459911806
dVc_dt,0.05508934195032955
Vb_rollstd,0.05420821950249688
Iref,0.05363852552872772
dVa_dt,0.05311829406576485
Vc_rollmean,0.04474515798547807
Vb_rollmean,0.04390344351809339
dVb_dt,0.04290010571898417
Va_rollmean,0.0419639011372781
dIref_dt,0.037095363331943965
THD_rollmean,0.03545960259324943
dTHD_dt,0.028889470565101938
Vc_rollstd,0.02779625234163774
Va_rollstd,0.026788499964455648
Ia_Ib_ratio,0.023017874986412723
Ic_Ia_ratio,0.021527329748177504
Ib_Ic_ratio,0.018872813422289525
is_voltage_spike_ab,0.015030440807517031
is_zero_Iref,0.013702870016445212
is_voltage_spike_ca,0.010407863036194565
is_voltage_spike_bc,0.008373560178985384
dIa_dt,0.005602795647122738
Power_factor,0.00019801322820844902
is_zero_current,0.0
