,THD,Iref_error,Imean,Istd,Ib,Ic,Iref_rollmean,Ic_Ia_ratio,dImean_dt,dVc_dt,is_zero_Iref,dVb_dt,Ib_rollmean,Power_factor,dVa_dt,Apparent_Power,Power_VbIb,Vmean,Ic_rollstd,Vb_rollstd,Idiff_ca,dIa_dt,Va_rollstd,Ia_rollstd,Power_VcIc
is_zero_Iref,0.2963980930447936,0.2964740820614133,0.29690545615585096,0.2979114391498295,0.30070544379646447,0.3018443714917132,0.300508943697549,0.29837381145480996,0.3007260425144749,0.3013023989155105,-2.84999794482861,0.2986309491554715,0.2998108718790124,0.29791371954912677,0.30002533421565153,0.2994042881965391,0.30001478894204786,0.303333825805271,0.2959091522556936,0.30577349988552766,0.3027173733617147,0.27936698493979994,-0.3963814473152815,0.2984509549227964,0.2993547245463192
dVb_dt,0.29975267945404394,0.03713151469449644,0.4210822866245698,0.28563851398605017,0.2967930719791934,0.29470403340881823,0.297327935201665,0.29788540382164314,0.29943989160833934,0.6508733158761375,0.2986309491554715,-2.8499959759367908,0.29419821185372985,0.29934575813076225,0.6099733723258542,0.30162806225400446,0.3001253737665623,0.2981257294055128,0.29853216763473606,0.2993363787816265,0.30671756757014573,0.301025878526967,0.2984005136010744,0.28416509854089284,0.2926242818781097
Ib_rollmean,0.35313938782126897,0.298373740336954,0.2753739847920832,0.28922210896839595,-0.3545750160087205,0.3185030004979782,0.45593381694098534,0.299790181570993,0.2979942764241505,0.32215953913819695,0.2998108718790124,0.29419821185372985,-2.849984353940517,0.3004501716345527,0.28209898910538533,0.28687762163679903,0.6157261561322995,0.3027623609606745,0.3595701519251799,0.3400623254860586,0.27276329682905515,0.29779577603092255,0.30084217793979456,0.4217790016310693,0.35430424593696064
Power_factor,0.3010320957327591,0.30038540356772037,0.30067030947823337,0.29900350208013043,0.29988005850865995,0.29957140250337505,0.2998162748250436,0.2999984132156735,0.29999446286118797,0.30357911987279834,0.29791371954912677,0.29934575813076225,0.3004501716345527,-2.849999846880521,0.29627822447144814,0.2999663753476808,0.30019297174864307,0.3000300716393181,0.29946149347037204,0.29872971159550077,0.298930749861153,0.2299814711970064,0.29783149268115455,0.30030652231324884,0.299419958884588
dVa_dt,0.3014813755075367,0.433831902981878,0.1797250893493229,0.2993990166084945,0.2833993272743229,0.3022324903652366,0.3019311593417478,0.30104033460114143,0.29886871509395585,0.6144763092076639,0.30002533421565153,0.6099733723258542,0.28209898910538533,0.29627822447144814,-2.8499965317074953,0.30311795269397296,0.30674186939745157,0.30183534826588315,0.29792376967989925,0.3001162043873568,0.41145320001473495,0.3038736010265711,0.30025094095853105,0.30539617242814915,0.3119937059469614
Apparent_Power,0.29976972342062563,0.3004736700214874,0.3005447565439771,0.2923415560188592,0.2900991466383505,0.309545352661906,0.2704548612759823,0.29839502473678736,0.16525187907381508,0.30089488189708996,0.2994042881965391,0.30162806225400446,0.28687762163679903,0.2999663753476808,0.30311795269397296,-2.849940461303354,0.29767439564407466,0.3034500457092836,0.23694536118000142,0.2839139742223195,0.29364011722649036,0.30004909158510606,0.29851639942814356,0.2775571227643524,0.30190580823573204
Power_VbIb,0.24389904703495574,0.30018336978097404,0.305298048083623,0.3015224389242351,0.6100271986651463,0.2669315588554856,0.053820053133538076,0.2990933948034987,0.29863547474764096,0.2950793425166615,0.30001478894204786,0.3001253737665623,0.6157261561322995,0.30019297174864307,0.30674186939745157,0.29767439564407466,-2.8499919590489418,0.2988959260003688,0.16754123124210066,0.2744082542014408,0.3347318914762306,0.2990140422535603,0.2924888769496472,0.14118439252403336,0.14936913309604186
Vmean,0.29360212295177046,0.29563762504027785,0.30479297401550737,0.29502219911360755,0.30471185586572996,0.3037308674757674,0.3033672491011549,0.30013531651392994,0.30190144423261356,0.2997656872130584,0.303333825805271,0.2981257294055128,0.3027623609606745,0.3000300716393181,0.30183534826588315,0.3034500457092836,0.2988959260003688,-2.849857582390866,0.29974547375212846,0.2961187426900011,0.29071890901089137,0.30019302312489016,0.30310576075995016,0.29632888273286345,0.3000136510994698
Ic_rollstd,0.23519432230146242,0.29886684431275967,0.32244981035401726,0.29500346042739617,0.42765663294769685,0.4768560502115971,-0.025809045737457015,0.29967894150475216,0.30008310369130425,0.3037450002308096,0.2959091522556936,0.29853216763473606,0.3595701519251799,0.29946149347037204,0.29792376967989925,0.23694536118000142,0.16754123124210066,0.29974547375212846,-2.849995700359477,0.2295639362843647,0.31267870029853845,0.2940391563022735,0.2846557356760481,0.007763540437923266,0.19222105394789615
Vb_rollstd,0.3175047191179101,0.2977558751774963,0.30390449800664937,0.29716774150909303,0.33660759837965076,0.31099021058922144,0.20972641951865797,0.3043564557731319,0.29857082184613337,0.30212690784101803,0.30577349988552766,0.2993363787816265,0.3400623254860586,0.29872971159550077,0.3001162043873568,0.2839139742223195,0.2744082542014408,0.2961187426900011,0.2295639362843647,-2.849995466412561,0.2999274430472362,0.3061415979368606,0.33004059260818824,0.21495696545728535,0.23432849083503066
Idiff_ca,0.3095966849885195,0.32496813737678226,0.594981049093016,0.29721820396328735,0.27995070073599604,0.2119199466625957,0.3082106976013974,0.30041294447950334,0.2985732064079244,0.18281789674740423,0.3027173733617147,0.30671756757014573,0.27276329682905515,0.298930749861153,0.41145320001473495,0.29364011722649036,0.3347318914762306,0.29071890901089137,0.31267870029853845,0.2999274430472362,-2.8499934359199135,0.2891564192343636,0.30273180313290277,0.303571538655429,0.31576155552170065
dIa_dt,0.3021528322607556,0.30389334668428536,0.30621945919390325,0.2900231762475222,0.2969274238616544,0.2981647136121857,0.2942041791750475,0.2999090545439942,0.2997575461893414,0.29468785769098754,0.27936698493979994,0.301025878526967,0.29779577603092255,0.2299814711970064,0.3038736010265711,0.30004909158510606,0.2990140422535603,0.30019302312489016,0.2940391563022735,0.3061415979368606,0.2891564192343636,-2.849998666457473,0.2794413565202208,0.3025958718387065,0.2998626515614343
Va_rollstd,0.28588923170035363,0.29657718775317776,0.29743398825809636,0.298107545372415,0.30773892392491903,0.31274938030594157,0.2965009490222778,0.2988101746897549,0.3002292203859957,0.30137273429243405,-0.3963814473152815,0.2984005136010744,0.30084217793979456,0.29783149268115455,0.30025094095853105,0.29851639942814356,0.2924888769496472,0.30310576075995016,0.2846557356760481,0.33004059260818824,0.30273180313290277,0.2794413565202208,-2.849998911565931,0.2767863998383343,0.2925843953640071
Ia_rollstd,0.29797846915462906,0.2932375029781777,0.33075142188972967,0.2984697755818438,0.4819183233485588,0.545210305965595,0.03251924930653621,0.2987574009925514,0.29783740425822974,0.31175484469505366,0.2984509549227964,0.28416509854089284,0.4217790016310693,0.30030652231324884,0.30539617242814915,0.2775571227643524,0.14118439252403336,0.29632888273286345,0.007763540437923266,0.21495696545728535,0.303571538655429,0.3025958718387065,0.2767863998383343,-2.849997460907844,0.17557529665013658
Power_VcIc,0.2689013178660988,0.28844566018525364,0.36436845189578676,0.2980706026963419,0.3549222140621172,0.48101069845242933,0.06706717863716477,0.29776452785043706,0.31976137075640276,0.29724708485116047,0.2993547245463192,0.2926242818781097,0.35430424593696064,0.299419958884588,0.3119937059469614,0.30190580823573204,0.14936913309604186,0.3000136510994698,0.19222105394789615,0.23432849083503066,0.31576155552170065,0.2998626515614343,0.2925843953640071,0.17557529665013658,-2.8499956216972344
