lambda,mu,gamma,k,objective_value,num_features,selected_features
1.0,10.0,50.0,15,7217.128432091027,24,"Apparent_Power,dImean_dt,Imean,Ic_rollmean,Ib_rollmean,Ia_rollmean,Ia,Ib_rollstd,Vb,Va,Idiff_bc,Ic_rollstd,Vdiff_bc,is_current_surge,dVc_dt,Vb_rollstd,Vc_rollmean,Vb_rollmean,Ia_Ib_ratio,Ic_Ia_ratio,dIa_dt,is_voltage_spike_ab,is_voltage_spike_ca,is_zero_current"
1.0,10.0,50.0,20,17595.10375373841,27,"Apparent_Power,dImean_dt,Ia_rollmean,Iref_rollmean,Ib,Idiff_ab,Istd,Power_VcIc,Vmean,Ib_rollstd,Idiff_bc,Vdiff_ca,is_current_imbalanced,is_current_surge,dIc_dt,Vb_rollstd,dVa_dt,dVb_dt,Vb_rollmean,Vc_rollstd,Ia_Ib_ratio,Ic_Ia_ratio,dIa_dt,is_voltage_spike_ab,is_zero_Iref,Power_factor,is_zero_current"
1.0,10.0,50.0,25,31275.497607183126,25,"dImean_dt,Iref_error,Imean,Ic_rollmean,Ib_rollmean,Ia_rollmean,Iref_rollmean,Ic,Ia,Idiff_ab,Power_VaIa,Vmean,Ia_rollstd,THD,THD_rollstd,dIb_dt,Vb_rollstd,Vc_rollmean,dVb_dt,dTHD_dt,Vc_rollstd,Va_rollstd,dIa_dt,Power_factor,is_voltage_spike_ca"
1.0,10.0,50.0,30,45017.16773718246,30,"Apparent_Power,dImean_dt,Iref_error,Ib_rollmean,Ia_rollmean,Iref_rollmean,Ic,Ia,Ib,Power_VbIb,Istd,Power_VcIc,Vmean,Ib_rollstd,Vb,Vc,Va,Idiff_bc,Idiff_ca,is_THD_below_nominal,THD_rollstd,dVc_dt,Vb_rollstd,Iref,dTHD_dt,Vc_rollstd,Va_rollstd,Ia_Ib_ratio,Ib_Ic_ratio,is_zero_Iref"
1.0,10.0,100.0,5,-65076.149345982834,31,"dImean_dt,Iref_error,Ic_rollmean,Ib,Idiff_ab,Istd,Power_VaIa,Vmean,Ib_rollstd,Vc,Va,Ia_rollstd,Vdiff_ab,Vdiff_ca,Vdiff_bc,Vstd,is_THD_below_nominal,THD_rollstd,is_current_surge,dVa_dt,Iref,Vc_rollmean,dVb_dt,Vb_rollmean,dIref_dt,Va_rollstd,Ia_Ib_ratio,Ib_Ic_ratio,is_zero_Iref,Power_factor,is_voltage_spike_bc"
1.0,10.0,100.0,10,-9575.04098890949,24,"Iref_error,Ib,Idiff_ab,Power_VbIb,Vmean,Iref_rollstd,Vb,Idiff_bc,Ic_rollstd,THD,Vdiff_ca,Vdiff_bc,THD_rollstd,is_current_surge,Vc_rollmean,Va_rollmean,Vc_rollstd,Ia_Ib_ratio,Ic_Ia_ratio,is_voltage_spike_ab,Power_factor,is_voltage_spike_ca,is_voltage_spike_bc,is_zero_current"
1.0,10.0,100.0,15,38.851939815309834,30,"dImean_dt,Imean,Iref_rollmean,Power_VbIb,Istd,Power_VaIa,Power_VcIc,Va,Idiff_bc,Idiff_ca,Ia_rollstd,Vdiff_ca,Vdiff_bc,Vstd,is_current_imbalanced,dIb_dt,dIc_dt,dVc_dt,Vb_rollstd,Vc_rollmean,dVb_dt,dTHD_dt,Va_rollstd,Ia_Ib_ratio,Ic_Ia_ratio,is_zero_Iref,Power_factor,is_voltage_spike_ca,is_voltage_spike_bc,is_zero_current"
1.0,10.0,100.0,20,40026.33556322914,20,"Apparent_Power,dImean_dt,Iref_error,Imean,Ic_rollmean,Iref_rollmean,Istd,Vb,Vc,Ic_rollstd,THD,dIc_dt,dVa_dt,Iref,Vc_rollmean,Vb_rollmean,dIa_dt,Ib_Ic_ratio,is_zero_Iref,is_voltage_spike_bc"
1.0,10.0,100.0,25,60954.82844058881,29,"Apparent_Power,Iref_error,Imean,Ia_rollmean,Ia,Ib,Idiff_ab,Power_VcIc,Vmean,Iref_rollstd,Ib_rollstd,Vc,Ic_rollstd,Ia_rollstd,Vdiff_ab,THD,Vdiff_bc,Vstd,dIc_dt,Iref,dVb_dt,Va_rollmean,THD_rollmean,dTHD_dt,Vc_rollstd,Va_rollstd,dIa_dt,Ib_Ic_ratio,is_zero_Iref"
1.0,10.0,100.0,30,90033.39356413104,30,"dImean_dt,Iref_error,Imean,Ic_rollmean,Ia_rollmean,Iref_rollmean,Ic,Ia,Ib,Power_VbIb,Istd,Power_VaIa,Vmean,Iref_rollstd,Ib_rollstd,Idiff_ca,Vdiff_ab,Vdiff_ca,Vstd,is_current_imbalanced,is_THD_below_nominal,THD_rollstd,dIc_dt,dVc_dt,Vb_rollstd,Vc_rollmean,Vc_rollstd,is_voltage_spike_ab,is_zero_Iref,is_voltage_spike_ca"
1.0,20.0,0.1,5,366.1291524473246,37,"Apparent_Power,dImean_dt,Iref_error,Ia_rollmean,Iref_rollmean,Ia,Idiff_ab,Istd,Power_VcIc,Vmean,Iref_rollstd,Ib_rollstd,Vb,Va,Ic_rollstd,Idiff_ca,Ia_rollstd,Vdiff_ab,Vdiff_bc,Vstd,is_THD_below_nominal,is_current_surge,Iref,Vc_rollmean,dVb_dt,Vb_rollmean,Va_rollmean,THD_rollmean,dTHD_dt,Vc_rollstd,Va_rollstd,Ic_Ia_ratio,dIa_dt,is_voltage_spike_ab,is_zero_Iref,is_voltage_spike_ca,is_voltage_spike_bc"
1.0,20.0,0.1,10,356.3974281011625,40,"Apparent_Power,Iref_error,Imean,Ib_rollmean,Iref_rollmean,Ic,Power_VbIb,Istd,Power_VaIa,Power_VcIc,Iref_rollstd,Vb,Va,Idiff_bc,Ic_rollstd,Idiff_ca,Ia_rollstd,Vdiff_ab,THD,Vdiff_bc,Vstd,is_THD_below_nominal,dIb_dt,is_current_surge,dVc_dt,Vb_rollstd,Iref,dVb_dt,Vb_rollmean,Va_rollmean,THD_rollmean,Vc_rollstd,Va_rollstd,Ia_Ib_ratio,Ic_Ia_ratio,Ib_Ic_ratio,is_voltage_spike_ab,is_zero_Iref,Power_factor,is_voltage_spike_bc"
1.0,20.0,0.1,15,397.9510174747042,38,"Apparent_Power,dImean_dt,Iref_error,Ic_rollmean,Ib_rollmean,Iref_rollmean,Power_VbIb,Istd,Power_VaIa,Power_VcIc,Vmean,Ib_rollstd,Vc,Idiff_bc,Ia_rollstd,Vdiff_ab,THD,Vdiff_ca,Vstd,is_current_imbalanced,is_THD_below_nominal,is_current_surge,dIc_dt,dVc_dt,Vb_rollstd,dVa_dt,Iref,Vc_rollmean,dIref_dt,THD_rollmean,Vc_rollstd,Va_rollstd,Ic_Ia_ratio,is_voltage_spike_ab,is_zero_Iref,Power_factor,is_voltage_spike_ca,is_voltage_spike_bc"
1.0,20.0,0.1,20,370.7112674584154,44,"Apparent_Power,Iref_error,Imean,Ic_rollmean,Ib_rollmean,Ia_rollmean,Iref_rollmean,Ic,Ia,Ib,Power_VbIb,Istd,Power_VaIa,Power_VcIc,Ib_rollstd,Vb,Va,Idiff_bc,Ic_rollstd,Idiff_ca,Ia_rollstd,Vdiff_ab,Vdiff_ca,Vdiff_bc,Vstd,is_THD_below_nominal,dIb_dt,is_current_surge,dIc_dt,dVc_dt,Vb_rollstd,dVb_dt,Vb_rollmean,Va_rollmean,dIref_dt,THD_rollmean,Vc_rollstd,Va_rollstd,Ia_Ib_ratio,Ic_Ia_ratio,is_voltage_spike_ab,is_zero_Iref,is_voltage_spike_ca,is_voltage_spike_bc"
1.0,20.0,0.1,25,584.6590078214929,36,"Apparent_Power,dImean_dt,Iref_error,Iref_rollmean,Ia,Power_VbIb,Power_VaIa,Power_VcIc,Ib_rollstd,Vc,Va,Idiff_bc,Ia_rollstd,Vdiff_ab,THD,Vdiff_ca,Vstd,is_THD_below_nominal,dIb_dt,is_current_surge,Vb_rollstd,Iref,dVb_dt,Vb_rollmean,Va_rollmean,dIref_dt,THD_rollmean,dTHD_dt,Vc_rollstd,Va_rollstd,Ic_Ia_ratio,dIa_dt,Ib_Ic_ratio,is_voltage_spike_ab,is_zero_Iref,is_voltage_spike_ca"
1.0,20.0,0.1,30,486.6681330759841,41,"Apparent_Power,dImean_dt,Iref_error,Ic_rollmean,Ib_rollmean,Ia_rollmean,Iref_rollmean,Ic,Ia,Ib,Idiff_ab,Power_VbIb,Istd,Power_VcIc,Vmean,Va,Idiff_bc,Ic_rollstd,Ia_rollstd,Vdiff_ab,THD,Vstd,is_current_imbalanced,is_THD_below_nominal,dIb_dt,is_current_surge,dVc_dt,dVa_dt,Iref,Vc_rollmean,dVb_dt,Va_rollmean,THD_rollmean,dTHD_dt,Vc_rollstd,Va_rollstd,Ib_Ic_ratio,is_voltage_spike_ab,is_zero_Iref,is_voltage_spike_ca,is_voltage_spike_bc"
1.0,20.0,0.5,5,177.82492281030878,26,"Apparent_Power,dImean_dt,Iref_rollmean,Ib,Power_VbIb,Power_VaIa,Power_VcIc,Vb,Idiff_bc,Ic_rollstd,Ia_rollstd,Vdiff_ab,Vdiff_bc,Vstd,is_current_imbalanced,is_THD_below_nominal,dIb_dt,Vb_rollstd,Iref,dVb_dt,Va_rollmean,dIref_dt,THD_rollmean,Ic_Ia_ratio,is_voltage_spike_ab,is_voltage_spike_ca"
1.0,20.0,0.5,10,408.8340003292575,26,"dImean_dt,Iref_error,Iref_rollmean,Ia,Idiff_ab,Power_VbIb,Power_VaIa,Va,Idiff_bc,Ic_rollstd,Ia_rollstd,Vdiff_bc,Vstd,is_THD_below_nominal,dIb_dt,is_current_surge,Vb_rollstd,Iref,dVb_dt,Vb_rollmean,THD_rollmean,Va_rollstd,Ib_Ic_ratio,is_zero_Iref,is_voltage_spike_ca,is_zero_current"
1.0,20.0,0.5,15,450.78916467015733,33,"Apparent_Power,dImean_dt,Iref_error,Imean,Iref_rollmean,Power_VbIb,Istd,Power_VcIc,Iref_rollstd,Ib_rollstd,Va,Idiff_bc,Ic_rollstd,Ia_rollstd,Vdiff_ab,Vstd,is_THD_below_nominal,dIb_dt,is_current_surge,dVc_dt,Iref,Va_rollmean,THD_rollmean,Vc_rollstd,Va_rollstd,Ia_Ib_ratio,Ic_Ia_ratio,Ib_Ic_ratio,is_voltage_spike_ab,Power_factor,is_voltage_spike_ca,is_voltage_spike_bc,is_zero_current"
1.0,20.0,0.5,20,367.5320551886081,36,"dImean_dt,Iref_error,Ia_rollmean,Iref_rollmean,Ic,Ib,Power_VbIb,Power_VaIa,Ib_rollstd,Vc,Idiff_bc,Ic_rollstd,Ia_rollstd,Vdiff_ab,THD,is_THD_below_nominal,dIb_dt,is_current_surge,dIc_dt,dVc_dt,Iref,dVb_dt,Vb_rollmean,Va_rollmean,THD_rollmean,dTHD_dt,Vc_rollstd,Va_rollstd,Ia_Ib_ratio,Ic_Ia_ratio,dIa_dt,Ib_Ic_ratio,is_voltage_spike_ab,is_zero_Iref,is_voltage_spike_ca,is_voltage_spike_bc"
1.0,20.0,0.5,25,582.994722903401,35,"Apparent_Power,dImean_dt,Iref_error,Ic_rollmean,Ia_rollmean,Ia,Idiff_ab,Power_VbIb,Istd,Power_VaIa,Ib_rollstd,Va,Ic_rollstd,Ia_rollstd,Vdiff_ab,Vdiff_ca,Vdiff_bc,Vstd,is_THD_below_nominal,dIb_dt,is_current_surge,dVc_dt,Vb_rollstd,dVa_dt,Iref,dVb_dt,Va_rollmean,dIref_dt,dTHD_dt,Ic_Ia_ratio,is_voltage_spike_ab,is_zero_Iref,Power_factor,is_voltage_spike_ca,is_voltage_spike_bc"
1.0,20.0,0.5,30,940.8031230090714,32,"Apparent_Power,dImean_dt,Imean,Ib_rollmean,Iref_rollmean,Power_VbIb,Power_VaIa,Power_VcIc,Vmean,Vc,Va,Idiff_bc,Ic_rollstd,Ia_rollstd,Vdiff_ab,Vdiff_ca,is_current_imbalanced,is_THD_below_nominal,is_current_surge,dIc_dt,dVc_dt,Iref,Vc_rollmean,dIref_dt,Vc_rollstd,Va_rollstd,Ic_Ia_ratio,dIa_dt,is_voltage_spike_ab,is_zero_Iref,Power_factor,is_voltage_spike_bc"
1.0,20.0,1.0,5,-229.46139495504346,25,"Apparent_Power,Iref_error,Ic,Ia,Idiff_ab,Power_VbIb,Iref_rollstd,Va,Ic_rollstd,Vdiff_ab,Vdiff_ca,Vdiff_bc,Vstd,is_current_imbalanced,dIb_dt,Vb_rollstd,Iref,Vc_rollmean,THD_rollmean,dTHD_dt,Vc_rollstd,Ia_Ib_ratio,Power_factor,is_voltage_spike_ca,is_zero_current"
1.0,20.0,1.0,10,167.42188623596735,23,"Iref_error,Ic_rollmean,Ib,Power_VbIb,Power_VaIa,Power_VcIc,Iref_rollstd,Idiff_bc,Vdiff_ab,Vdiff_ca,Vstd,dIb_dt,is_current_surge,dVc_dt,Vb_rollmean,dIref_dt,THD_rollmean,Vc_rollstd,Va_rollstd,Ia_Ib_ratio,is_voltage_spike_ab,Power_factor,is_voltage_spike_ca"
1.0,20.0,1.0,15,567.3137052330699,24,"dImean_dt,Iref_error,Ia_rollmean,Iref_rollmean,Ia,Idiff_ab,Power_VaIa,Power_VcIc,Ib_rollstd,Va,Idiff_bc,Vdiff_ab,Vstd,is_THD_below_nominal,dIb_dt,is_current_surge,Vb_rollstd,Iref,Va_rollmean,Vc_rollstd,Ib_Ic_ratio,is_voltage_spike_ab,Power_factor,is_voltage_spike_ca"
1.0,20.0,1.0,20,607.173090704352,31,"Apparent_Power,Iref_error,Ic_rollmean,Iref_rollmean,Ia,Idiff_ab,Power_VcIc,Vb,Va,Idiff_bc,Ic_rollstd,Ia_rollstd,Vdiff_bc,Vstd,is_current_imbalanced,is_THD_below_nominal,THD_rollstd,dIb_dt,is_current_surge,dIc_dt,dVc_dt,Iref,dVb_dt,Va_rollmean,THD_rollmean,Ia_Ib_ratio,Ic_Ia_ratio,is_voltage_spike_ab,is_voltage_spike_ca,is_voltage_spike_bc,is_zero_current"
1.0,20.0,1.0,25,1052.8616782886434,30,"Iref_error,Ic_rollmean,Ia_rollmean,Iref_rollmean,Ic,Ia,Idiff_ab,Power_VbIb,Power_VaIa,Power_VcIc,Vc,Va,Ic_rollstd,Idiff_ca,Ia_rollstd,Vdiff_ab,Vstd,is_THD_below_nominal,THD_rollstd,dIb_dt,is_current_surge,Vb_rollstd,Iref,dVb_dt,Va_rollmean,THD_rollmean,is_zero_Iref,Power_factor,is_voltage_spike_ca,is_voltage_spike_bc"
1.0,20.0,1.0,30,1303.7898748225577,38,"Apparent_Power,dImean_dt,Iref_error,Ic_rollmean,Ib_rollmean,Ia_rollmean,Iref_rollmean,Ic,Power_VbIb,Power_VaIa,Power_VcIc,Vmean,Ib_rollstd,Idiff_bc,Ic_rollstd,Idiff_ca,Ia_rollstd,Vdiff_ab,Vdiff_bc,Vstd,is_THD_below_nominal,dIb_dt,is_current_surge,Vb_rollstd,dVb_dt,Vb_rollmean,dIref_dt,THD_rollmean,dTHD_dt,Vc_rollstd,Va_rollstd,dIa_dt,is_voltage_spike_ab,is_zero_Iref,Power_factor,is_voltage_spike_ca,is_voltage_spike_bc,is_zero_current"
1.0,20.0,2.0,5,-734.4561442209836,25,"Iref_error,Ic_rollmean,Ic,Idiff_ab,Power_VcIc,Iref_rollstd,Va,Ic_rollstd,Ia_rollstd,Vdiff_ab,Vdiff_ca,Vdiff_bc,is_THD_below_nominal,THD_rollstd,is_current_surge,dIc_dt,dVc_dt,dVa_dt,dVb_dt,Vb_rollmean,dIref_dt,Va_rollstd,Ib_Ic_ratio,is_zero_Iref,is_zero_current"
1.0,20.0,2.0,10,-301.1686012957369,26,"Apparent_Power,Iref_error,Iref_rollmean,Ic,Ib,Power_VcIc,Vb,Va,Idiff_bc,Idiff_ca,Ia_rollstd,THD,Vstd,is_current_imbalanced,THD_rollstd,dVa_dt,Iref,Vc_rollmean,dIref_dt,dTHD_dt,Va_rollstd,Ic_Ia_ratio,dIa_dt,is_zero_Iref,Power_factor,is_zero_current"
1.0,20.0,2.0,15,435.3330507495446,23,"Apparent_Power,Ic_rollmean,Idiff_ab,Power_VbIb,Power_VaIa,Power_VcIc,Vmean,Iref_rollstd,Va,Idiff_bc,Vdiff_ab,Vdiff_ca,is_THD_below_nominal,dIb_dt,is_current_surge,dIc_dt,dVa_dt,Vc_rollmean,dVb_dt,dTHD_dt,Va_rollstd,Ia_Ib_ratio,Power_factor"
1.0,20.0,2.0,20,994.6539103738131,26,"Iref_rollmean,Ib,Idiff_ab,Power_VbIb,Istd,Power_VaIa,Power_VcIc,Iref_rollstd,Vb,Va,Idiff_bc,Ic_rollstd,Idiff_ca,Vstd,is_THD_below_nominal,THD_rollstd,dIb_dt,Iref,dVb_dt,dIref_dt,THD_rollmean,Vc_rollstd,Ia_Ib_ratio,dIa_dt,is_voltage_spike_ab,is_voltage_spike_ca"
1.0,20.0,2.0,25,1576.0292476902455,29,"Iref_error,Ib_rollmean,Iref_rollmean,Power_VbIb,Istd,Power_VaIa,Power_VcIc,Iref_rollstd,Ib_rollstd,Va,Idiff_bc,Ic_rollstd,Ia_rollstd,Vdiff_ab,Vdiff_bc,Vstd,is_current_imbalanced,is_THD_below_nominal,is_current_surge,dVc_dt,dVb_dt,Vb_rollmean,Va_rollmean,dIref_dt,THD_rollmean,Ia_Ib_ratio,Ib_Ic_ratio,is_voltage_spike_ab,is_voltage_spike_ca"
1.0,20.0,2.0,30,2192.4427396335477,35,"Apparent_Power,Iref_error,Iref_rollmean,Ia,Idiff_ab,Istd,Power_VaIa,Power_VcIc,Iref_rollstd,Ib_rollstd,Va,Idiff_bc,Ic_rollstd,Idiff_ca,Ia_rollstd,Vdiff_ab,Vstd,is_THD_below_nominal,THD_rollstd,dIb_dt,is_current_surge,dVc_dt,Iref,dVb_dt,dIref_dt,THD_rollmean,Vc_rollstd,Va_rollstd,Ic_Ia_ratio,dIa_dt,is_voltage_spike_ab,is_zero_Iref,Power_factor,is_voltage_spike_bc,is_zero_current"
1.0,20.0,5.0,5,-2252.9353819837993,27,"dImean_dt,Iref_error,Ia_rollmean,Ia,Power_VbIb,Power_VcIc,Vmean,Iref_rollstd,Vb,Vc,Va,Vdiff_ab,THD,Vdiff_ca,Vdiff_bc,THD_rollstd,dIc_dt,dVc_dt,Vb_rollstd,Iref,Vb_rollmean,dIref_dt,Vc_rollstd,is_voltage_spike_ab,Power_factor,is_voltage_spike_ca,is_voltage_spike_bc"
1.0,20.0,5.0,10,237.2833983140772,17,"dImean_dt,Ib_rollmean,Iref_rollmean,Power_VbIb,Vb,Vc,Idiff_ca,Vdiff_ab,Vdiff_ca,Vdiff_bc,is_current_imbalanced,is_THD_below_nominal,Iref,Va_rollmean,THD_rollmean,Vc_rollstd,is_voltage_spike_ca"
1.0,20.0,5.0,15,660.1796053621438,25,"Apparent_Power,dImean_dt,Imean,Ib_rollmean,Ia,Idiff_ab,Istd,Vmean,Vb,Vc,Idiff_bc,Idiff_ca,Ia_rollstd,THD,Vdiff_ca,dIb_dt,Iref,Vc_rollmean,Vb_rollmean,dIref_dt,Vc_rollstd,Ia_Ib_ratio,dIa_dt,Ib_Ic_ratio,Power_factor"
1.0,20.0,5.0,20,2087.0170339407678,24,"Iref_error,Imean,Ic_rollmean,Ia_rollmean,Iref_rollmean,Ia,Idiff_ab,Power_VbIb,Istd,Power_VaIa,Iref_rollstd,Va,Idiff_ca,Vdiff_ab,is_THD_below_nominal,THD_rollstd,dVa_dt,Iref,dVb_dt,Va_rollmean,Ic_Ia_ratio,is_voltage_spike_ab,is_voltage_spike_ca,is_zero_current"
1.0,20.0,5.0,25,3182.629414167497,26,"Apparent_Power,Iref_error,Istd,Vmean,Iref_rollstd,Ib_rollstd,Vc,Idiff_ca,Vdiff_ab,Vdiff_ca,Vdiff_bc,Vstd,is_current_surge,Vb_rollmean,Va_rollmean,dIref_dt,THD_rollmean,dTHD_dt,Va_rollstd,Ia_Ib_ratio,Ic_Ia_ratio,dIa_dt,Ib_Ic_ratio,Power_factor,is_voltage_spike_bc,is_zero_current"
1.0,20.0,5.0,30,4773.193617616382,31,"Apparent_Power,Iref_error,Imean,Ia_rollmean,Iref_rollmean,Ia,Ib,Idiff_ab,Power_VbIb,Istd,Power_VaIa,Power_VcIc,Iref_rollstd,Ib_rollstd,Va,Idiff_bc,Vdiff_ab,Vdiff_ca,is_current_imbalanced,is_current_surge,Vb_rollstd,Iref,Vc_rollmean,dIref_dt,THD_rollmean,dTHD_dt,Va_rollstd,Ic_Ia_ratio,is_zero_Iref,Power_factor,is_voltage_spike_bc"
1.0,20.0,10.0,5,-3712.7005864255384,25,"dImean_dt,Iref_error,Imean,Ia_rollmean,Ic,Ib,Idiff_ab,Vmean,Iref_rollstd,Ib_rollstd,Vc,Va,Ia_rollstd,Vstd,THD_rollstd,dIb_dt,dVc_dt,dVa_dt,Vc_rollmean,dIref_dt,Vc_rollstd,Ic_Ia_ratio,is_voltage_spike_ab,is_zero_Iref,Power_factor"
1.0,20.0,10.0,10,-1873.5623909060669,27,"dImean_dt,Iref_error,Ib_rollmean,Ic,Power_VbIb,Istd,Power_VcIc,Vmean,Iref_rollstd,Idiff_bc,THD,Vdiff_ca,Vdiff_bc,Vstd,is_current_surge,dIc_dt,dVc_dt,dVa_dt,Iref,Vc_rollmean,dVb_dt,Va_rollmean,dTHD_dt,Vc_rollstd,Ic_Ia_ratio,is_zero_Iref,Power_factor"
1.0,20.0,10.0,15,1707.4581480827187,23,"Iref_error,Ia_rollmean,Ia,Idiff_ab,Istd,Iref_rollstd,Vb,Idiff_bc,Ia_rollstd,THD,THD_rollstd,is_current_surge,Vb_rollstd,dVa_dt,Iref,Vc_rollmean,dVb_dt,Va_rollmean,THD_rollmean,dTHD_dt,dIa_dt,is_voltage_spike_ca,is_zero_current"
1.0,20.0,10.0,20,3551.658210373187,28,"Apparent_Power,Ib_rollmean,Ia_rollmean,Ia,Power_VbIb,Istd,Power_VaIa,Power_VcIc,Ib_rollstd,Vb,Vc,Idiff_bc,THD,Vdiff_ca,Vdiff_bc,dIb_dt,is_current_surge,dVc_dt,Vb_rollstd,dVa_dt,Iref,dIref_dt,dTHD_dt,Vc_rollstd,Va_rollstd,is_voltage_spike_ab,is_zero_Iref,is_voltage_spike_bc"
1.0,20.0,10.0,25,6358.719474352385,27,"Imean,Ic_rollmean,Ia_rollmean,Ic,Idiff_ab,Power_VaIa,Vc,Idiff_bc,Ic_rollstd,Ia_rollstd,THD,Vdiff_ca,Vstd,dIb_dt,is_current_surge,dIc_dt,Vb_rollstd,Iref,dVb_dt,Vb_rollmean,dTHD_dt,Vc_rollstd,Va_rollstd,dIa_dt,is_voltage_spike_ab,is_zero_Iref,is_zero_current"
1.0,20.0,10.0,30,9280.895508937454,30,"dImean_dt,Ic_rollmean,Ia_rollmean,Iref_rollmean,Ic,Ia,Power_VbIb,Power_VaIa,Vmean,Ib_rollstd,Vb,Va,Idiff_bc,Ic_rollstd,Idiff_ca,Ia_rollstd,Vdiff_bc,Vstd,THD_rollstd,dIb_dt,is_current_surge,Iref,dVb_dt,Vb_rollmean,dIref_dt,Vc_rollstd,is_voltage_spike_ab,is_zero_Iref,Power_factor,is_zero_current"
1.0,20.0,20.0,5,-6719.72697316479,24,"dImean_dt,Imean,Ic_rollmean,Ia_rollmean,Iref_rollmean,Ia,Iref_rollstd,Vb,Va,Idiff_bc,Idiff_ca,THD,is_current_imbalanced,is_THD_below_nominal,THD_rollstd,is_current_surge,dIc_dt,dVa_dt,Iref,Vb_rollmean,Va_rollmean,is_voltage_spike_ab,is_zero_Iref,is_zero_current"
1.0,20.0,20.0,10,-5155.935000173697,29,"Iref_error,Imean,Ib_rollmean,Ib,Idiff_ab,Istd,Power_VaIa,Power_VcIc,Vmean,Iref_rollstd,Vb,Va,Ia_rollstd,Vdiff_ab,THD,Vdiff_bc,is_current_surge,dIc_dt,Vb_rollstd,dVa_dt,THD_rollmean,dTHD_dt,Vc_rollstd,Ic_Ia_ratio,is_voltage_spike_ab,is_zero_Iref,Power_factor,is_voltage_spike_ca,is_voltage_spike_bc"
1.0,20.0,20.0,15,2220.1330543740837,26,"dImean_dt,Ic_rollmean,Iref_rollmean,Ic,Ia,Idiff_ab,Vb,Vc,Idiff_bc,Ic_rollstd,Idiff_ca,Vdiff_ca,Vdiff_bc,THD_rollstd,is_current_surge,dIc_dt,Vc_rollmean,dIref_dt,dTHD_dt,Vc_rollstd,Va_rollstd,Ia_Ib_ratio,Ic_Ia_ratio,is_voltage_spike_ab,Power_factor,is_voltage_spike_bc"
1.0,20.0,20.0,20,7853.260674453606,22,"Imean,Ic_rollmean,Ib_rollmean,Ia_rollmean,Ib,Power_VbIb,Iref_rollstd,Vb,Vc,Va,Ic_rollstd,Idiff_ca,Vdiff_ca,Vstd,THD_rollstd,Iref,Va_rollmean,dTHD_dt,Vc_rollstd,Power_factor,is_voltage_spike_ca,is_voltage_spike_bc"
1.0,20.0,20.0,25,12671.032991806638,26,"dImean_dt,Iref_error,Ic,Ia,Power_VbIb,Istd,Power_VcIc,Iref_rollstd,Vc,Va,Idiff_bc,Ic_rollstd,Idiff_ca,is_current_surge,Iref,dVb_dt,Vb_rollmean,dIref_dt,THD_rollmean,Va_rollstd,dIa_dt,Ib_Ic_ratio,is_voltage_spike_ab,is_zero_Iref,Power_factor,is_voltage_spike_ca"
1.0,20.0,20.0,30,18050.10004399094,31,"Ib_rollmean,Ia_rollmean,Ia,Ib,Power_VbIb,Istd,Power_VaIa,Power_VcIc,Vmean,Ib_rollstd,Vc,Va,Ic_rollstd,Idiff_ca,Ia_rollstd,THD,Vdiff_ca,is_THD_below_nominal,is_current_surge,dVc_dt,Vc_rollmean,Vb_rollmean,Va_rollmean,dIref_dt,dTHD_dt,Va_rollstd,Ic_Ia_ratio,is_voltage_spike_ab,Power_factor,is_voltage_spike_ca,is_voltage_spike_bc"
1.0,20.0,50.0,5,-20840.112920933654,26,"Iref_error,Ic,Ib,Idiff_ab,Power_VbIb,Istd,Power_VcIc,Vb,Vc,Idiff_bc,Ic_rollstd,Idiff_ca,THD,Vdiff_bc,THD_rollstd,dIb_dt,dIc_dt,dVc_dt,Vc_rollmean,Va_rollmean,dIref_dt,Ic_Ia_ratio,dIa_dt,Ib_Ic_ratio,is_voltage_spike_ab,Power_factor"
1.0,20.0,50.0,10,-3334.4820376919197,23,"Iref_rollmean,Ic,Istd,Vc,Idiff_bc,Ic_rollstd,Ia_rollstd,Vdiff_ab,THD,Vdiff_ca,is_current_imbalanced,THD_rollstd,dIb_dt,dIc_dt,Vb_rollstd,Vc_rollmean,Vb_rollmean,Va_rollstd,Ic_Ia_ratio,is_voltage_spike_ab,is_zero_Iref,is_voltage_spike_ca,is_voltage_spike_bc"
1.0,20.0,50.0,15,6315.87858878736,25,"Apparent_Power,Iref_error,Istd,Vmean,Ib_rollstd,Vc,Va,Ic_rollstd,Idiff_ca,Vdiff_ab,Vdiff_ca,Vdiff_bc,Vstd,is_current_imbalanced,is_THD_below_nominal,dVc_dt,dVa_dt,Iref,Vc_rollmean,dVb_dt,THD_rollmean,Vc_rollstd,Va_rollstd,dIa_dt,is_voltage_spike_ab"
1.0,20.0,50.0,20,19585.46398214111,23,"Ic_rollmean,Ib_rollmean,Ic,Idiff_ab,Power_VbIb,Istd,Vmean,Vb,Idiff_ca,Vdiff_ca,is_current_imbalanced,is_THD_below_nominal,dIb_dt,dVc_dt,dVa_dt,Vc_rollmean,dTHD_dt,Va_rollstd,Ia_Ib_ratio,Ic_Ia_ratio,is_zero_Iref,is_voltage_spike_ca,is_voltage_spike_bc"
