lambda,mu,gamma,k,objective_value,num_features,selected_features
0.1,0.1,1.0,15,103.98074187597159,26,"Ic_rollmean,Iref_rollmean,Idiff_ab,Istd,Power_VcIc,Ib_rollstd,Vb,Vc,Va,Idiff_ca,Vdiff_ab,THD,Vdiff_bc,Vstd,is_current_imbalanced,is_current_surge,dVa_dt,Iref,Vc_rollmean,dVb_dt,Va_rollmean,Ia_Ib_ratio,dIa_dt,Ib_Ic_ratio,is_zero_Iref,is_voltage_spike_ca"
0.1,0.1,1.0,20,351.8005792048072,27,"dImean_dt,Iref_error,Ia_rollmean,Iref_rollmean,Ia,Idiff_ab,Istd,Power_VcIc,Iref_rollstd,Vc,Va,Idiff_bc,Ia_rollstd,THD,Vstd,THD_rollstd,dVc_dt,Vb_rollstd,Iref,dIref_dt,THD_rollmean,Vc_rollstd,Ic_Ia_ratio,dIa_dt,is_voltage_spike_ab,is_zero_Iref,Power_factor"
0.1,0.1,1.0,25,624.0089134666152,26,"Apparent_Power,Iref_error,Imean,Ic_rollmean,Iref_rollmean,Ia,Ib,Istd,Vmean,Iref_rollstd,Ib_rollstd,Vb,Idiff_bc,Ia_rollstd,THD,is_current_imbalanced,dIc_dt,Vb_rollstd,dVa_dt,Iref,dVb_dt,Vb_rollmean,Vc_rollstd,Ia_Ib_ratio,is_zero_Iref,is_voltage_spike_bc"
0.1,0.1,1.0,30,900.1343968816844,30,"Apparent_Power,dImean_dt,Iref_error,Ic_rollmean,Ib_rollmean,Ia_rollmean,Iref_rollmean,Ic,Ia,Idiff_ab,Power_VbIb,Ic_rollstd,Ia_rollstd,THD,Vdiff_ca,is_current_imbalanced,THD_rollstd,dIb_dt,is_current_surge,dIc_dt,Vc_rollmean,dVb_dt,Vb_rollmean,Va_rollmean,THD_rollmean,dTHD_dt,Vc_rollstd,Ic_Ia_ratio,Ib_Ic_ratio,is_zero_current"
0.1,0.1,2.0,5,-1198.860971453124,30,"Apparent_Power,Iref_error,Imean,Iref_rollmean,Ia,Istd,Power_VcIc,Ib_rollstd,Va,Idiff_bc,Ic_rollstd,Idiff_ca,Vdiff_ab,Vdiff_bc,dIb_dt,dVc_dt,Vb_rollstd,Iref,dVb_dt,Vb_rollmean,Va_rollmean,THD_rollmean,Va_rollstd,Ia_Ib_ratio,Ic_Ia_ratio,dIa_dt,Power_factor,is_voltage_spike_ca,is_voltage_spike_bc,is_zero_current"
0.1,0.1,2.0,10,-192.21951910540807,24,"dImean_dt,Ib_rollmean,Idiff_ab,Vmean,Iref_rollstd,Ib_rollstd,Vc,Va,Idiff_ca,Vdiff_ab,Vdiff_bc,is_THD_below_nominal,THD_rollstd,Iref,dVb_dt,Vb_rollmean,dIref_dt,dTHD_dt,Ia_Ib_ratio,dIa_dt,Power_factor,is_voltage_spike_ca,is_voltage_spike_bc,is_zero_current"
0.1,0.1,2.0,15,208.37183662465975,26,"Apparent_Power,dImean_dt,Iref_error,Imean,Ib_rollmean,Ia_rollmean,Ia,Idiff_ab,Power_VaIa,Power_VcIc,Vb,Va,Idiff_bc,THD,Vstd,THD_rollstd,dIb_dt,is_current_surge,dIc_dt,Vb_rollstd,Iref,Vc_rollmean,Vb_rollmean,dIref_dt,Ib_Ic_ratio,is_voltage_spike_ca"
0.1,0.1,2.0,20,800.1649830675553,20,"Apparent_Power,Ic_rollmean,Iref_rollmean,Power_VbIb,Istd,Power_VaIa,Va,Idiff_bc,Idiff_ca,is_current_imbalanced,dIb_dt,is_current_surge,Vc_rollmean,Vb_rollmean,dIref_dt,THD_rollmean,Ic_Ia_ratio,is_voltage_spike_ab,is_voltage_spike_bc,is_zero_current"
0.1,0.1,2.0,25,1250.3641386799068,25,"Apparent_Power,dImean_dt,Iref_error,Ib_rollmean,Iref_rollmean,Ic,Ia,Ib_rollstd,Vb,Vc,Idiff_bc,THD,Vstd,is_THD_below_nominal,is_current_surge,dIc_dt,dVc_dt,Iref,Vc_rollmean,Va_rollstd,Ia_Ib_ratio,Ic_Ia_ratio,is_voltage_spike_ab,is_voltage_spike_bc,is_zero_current"
0.1,0.1,2.0,30,1800.0741059055783,30,"Apparent_Power,dImean_dt,Iref_error,Imean,Ib_rollmean,Iref_rollmean,Ic,Ib,Power_VaIa,Ib_rollstd,Vb,Va,Ic_rollstd,Vdiff_ab,THD,Vdiff_bc,is_current_imbalanced,is_THD_below_nominal,THD_rollstd,dIb_dt,dVa_dt,Vb_rollmean,dIref_dt,dTHD_dt,Ia_Ib_ratio,dIa_dt,Ib_Ic_ratio,is_voltage_spike_ab,is_zero_Iref,is_voltage_spike_bc"
0.1,0.1,5.0,5,-1680.2333811894728,24,"Imean,Ia_rollmean,Ic,Ib,Power_VbIb,Power_VaIa,Vmean,Vb,Vc,Va,Idiff_bc,Ic_rollstd,Vdiff_ab,Vdiff_ca,Vdiff_bc,is_current_imbalanced,dIc_dt,Vc_rollmean,dVb_dt,Vb_rollmean,Va_rollmean,Ia_Ib_ratio,Ic_Ia_ratio,Power_factor"
0.1,0.1,5.0,10,-1119.8358792470501,28,"Apparent_Power,Iref_error,Imean,Ic_rollmean,Ib_rollmean,Ic,Idiff_ab,Power_VbIb,Istd,Vb,Vc,Idiff_bc,Ic_rollstd,Idiff_ca,Vdiff_ab,is_current_imbalanced,is_THD_below_nominal,dIb_dt,dVc_dt,Vb_rollstd,Vb_rollmean,dIref_dt,THD_rollmean,Va_rollstd,Ib_Ic_ratio,is_voltage_spike_ab,is_voltage_spike_bc,is_zero_current"
0.1,0.1,5.0,15,520.0353818192468,26,"dImean_dt,Iref_error,Imean,Ic,Ia,Power_VaIa,Vmean,Iref_rollstd,Ib_rollstd,Vb,Va,Idiff_bc,Vstd,is_current_surge,dIc_dt,dVc_dt,dVa_dt,Iref,Vc_rollmean,dTHD_dt,dIa_dt,is_voltage_spike_ab,is_zero_Iref,Power_factor,is_voltage_spike_bc,is_zero_current"
0.1,0.1,5.0,20,1874.748685111783,25,"Apparent_Power,Ic_rollmean,Ib,Power_VcIc,Vmean,Vc,Idiff_bc,THD,Vstd,is_current_imbalanced,is_THD_below_nominal,THD_rollstd,dIb_dt,is_current_surge,dIc_dt,dVc_dt,dVa_dt,Iref,dVb_dt,Vb_rollmean,dTHD_dt,Ia_Ib_ratio,dIa_dt,Ib_Ic_ratio,is_zero_Iref"
0.1,0.1,5.0,25,3120.139005396019,26,"Apparent_Power,dImean_dt,Ic_rollmean,Iref_rollmean,Ic,Istd,Va,Ic_rollstd,Ia_rollstd,THD,Vdiff_ca,is_current_imbalanced,is_THD_below_nominal,THD_rollstd,Vb_rollstd,Vb_rollmean,Va_rollmean,dIref_dt,THD_rollmean,dTHD_dt,Ia_Ib_ratio,Ic_Ia_ratio,Ib_Ic_ratio,is_voltage_spike_ab,is_voltage_spike_bc,is_zero_current"
0.1,0.1,5.0,30,4500.464639220523,30,"dImean_dt,Iref_error,Ib_rollmean,Ia_rollmean,Power_VbIb,Istd,Power_VcIc,Vmean,Iref_rollstd,Ib_rollstd,Vc,Idiff_bc,Idiff_ca,Vdiff_ab,THD,Vdiff_bc,Vstd,is_current_imbalanced,is_THD_below_nominal,dIb_dt,Vb_rollstd,Vb_rollmean,THD_rollmean,dTHD_dt,Ic_Ia_ratio,dIa_dt,Ib_Ic_ratio,is_zero_Iref,is_voltage_spike_ca,is_zero_current"
0.1,0.1,10.0,5,-3749.8354198939132,25,"Ic_rollmean,Ia_rollmean,Iref_rollmean,Ia,Power_VbIb,Istd,Power_VaIa,Power_VcIc,Iref_rollstd,Ib_rollstd,Idiff_bc,Idiff_ca,Vdiff_bc,is_current_imbalanced,is_THD_below_nominal,THD_rollstd,Vc_rollmean,dVb_dt,Vb_rollmean,dIref_dt,dTHD_dt,Ib_Ic_ratio,is_zero_Iref,Power_factor,is_zero_current"
0.1,0.1,10.0,10,-1890.1657750860772,27,"Iref_error,Imean,Ic_rollmean,Ib_rollmean,Ia,Idiff_ab,Power_VaIa,Idiff_bc,Idiff_ca,Vdiff_ab,THD,Vdiff_ca,Vdiff_bc,THD_rollstd,dIc_dt,dVc_dt,Vb_rollstd,dVa_dt,Iref,Vc_rollmean,THD_rollmean,Vc_rollstd,Va_rollstd,dIa_dt,Ib_Ic_ratio,Power_factor,is_voltage_spike_bc"
0.1,0.1,10.0,15,1890.121646918591,21,"Ib_rollmean,Power_VbIb,Power_VaIa,Ib_rollstd,Vb,Ia_rollstd,Vdiff_ab,THD,is_current_imbalanced,THD_rollstd,dIb_dt,dIc_dt,dTHD_dt,Vc_rollstd,Va_rollstd,Ia_Ib_ratio,dIa_dt,is_voltage_spike_ab,is_zero_Iref,Power_factor,is_zero_current"
0.1,0.1,10.0,20,3510.2246921941996,27,"Apparent_Power,Ib_rollmean,Iref_rollmean,Idiff_ab,Power_VaIa,Power_VcIc,Iref_rollstd,Vc,Va,Idiff_bc,Ia_rollstd,Vdiff_ca,THD_rollstd,dIc_dt,dVc_dt,Vb_rollstd,Vc_rollmean,dIref_dt,THD_rollmean,Vc_rollstd,Ia_Ib_ratio,Ic_Ia_ratio,is_zero_Iref,Power_factor,is_voltage_spike_ca,is_voltage_spike_bc,is_zero_current"
0.1,0.1,10.0,25,6159.809828417406,28,"Apparent_Power,dImean_dt,Imean,Ib_rollmean,Ic,Ia,Ib,Idiff_ab,Power_VbIb,Istd,Vmean,Vb,Va,Ic_rollstd,THD,THD_rollstd,is_current_surge,dVc_dt,Vc_rollmean,dVb_dt,Vb_rollmean,dTHD_dt,dIa_dt,Ib_Ic_ratio,is_voltage_spike_ab,is_zero_Iref,Power_factor,is_voltage_spike_ca"
0.1,0.1,10.0,30,9000.276480577963,30,"Apparent_Power,dImean_dt,Iref_error,Imean,Ic,Ia,Idiff_ab,Istd,Power_VaIa,Power_VcIc,Iref_rollstd,Va,Idiff_ca,Ia_rollstd,Vdiff_ab,Vdiff_ca,Vstd,is_THD_below_nominal,THD_rollstd,dIc_dt,dVa_dt,dIref_dt,Vc_rollstd,Ic_Ia_ratio,dIa_dt,Ib_Ic_ratio,is_voltage_spike_ab,is_zero_Iref,Power_factor,is_voltage_spike_ca"
0.1,0.1,20.0,5,-8320.020326168897,26,"dImean_dt,Ic_rollmean,Ib,Idiff_ab,Ib_rollstd,Va,Ic_rollstd,Idiff_ca,Vdiff_ab,THD,Vdiff_bc,Vstd,is_current_imbalanced,is_THD_below_nominal,THD_rollstd,is_current_surge,dVc_dt,dVa_dt,Vb_rollmean,Va_rollmean,dIref_dt,THD_rollmean,dIa_dt,is_voltage_spike_ab,is_zero_Iref,is_voltage_spike_bc"
0.1,0.1,20.0,10,-3120.060004605302,26,"Ic_rollmean,Ia_rollmean,Ia,Ib,Power_VbIb,Power_VaIa,Power_VcIc,Vb,Vc,Idiff_bc,Ia_rollstd,Vdiff_bc,is_current_imbalanced,is_THD_below_nominal,THD_rollstd,dIb_dt,dIc_dt,dVc_dt,Vb_rollstd,dVa_dt,Iref,dVb_dt,Vb_rollmean,Vc_rollstd,Ic_Ia_ratio,is_voltage_spike_ca"
0.1,0.1,20.0,15,1120.2575910077956,28,"dImean_dt,Imean,Ib_rollmean,Ia_rollmean,Iref_rollmean,Ib,Power_VaIa,Vmean,Iref_rollstd,Ib_rollstd,Va,Idiff_ca,Ia_rollstd,Vdiff_ab,Vdiff_bc,is_THD_below_nominal,is_current_surge,dIc_dt,Vb_rollstd,dVa_dt,Iref,dVb_dt,dTHD_dt,Vc_rollstd,Ic_Ia_ratio,dIa_dt,Ib_Ic_ratio,is_voltage_spike_bc"
0.1,0.1,20.0,20,6720.221831462678,28,"Iref_error,Imean,Ia_rollmean,Ic,Ia,Ib,Power_VaIa,Power_VcIc,Vb,Vc,Ic_rollstd,Ia_rollstd,THD,Vdiff_bc,is_current_imbalanced,is_THD_below_nominal,dIb_dt,dVa_dt,Vc_rollmean,dVb_dt,Vb_rollmean,dIref_dt,THD_rollmean,dTHD_dt,Vc_rollstd,Ic_Ia_ratio,is_voltage_spike_ab,is_voltage_spike_ca"
0.1,0.1,20.0,25,12320.265093384256,28,"dImean_dt,Ic_rollmean,Ib_rollmean,Iref_rollmean,Ic,Idiff_ab,Power_VbIb,Power_VaIa,Power_VcIc,Iref_rollstd,Ib_rollstd,Vb,Idiff_bc,Idiff_ca,Ia_rollstd,Vdiff_ab,THD,is_current_imbalanced,is_THD_below_nominal,dIb_dt,dVb_dt,Vb_rollmean,Va_rollstd,Ic_Ia_ratio,dIa_dt,is_zero_Iref,Power_factor,is_voltage_spike_ca"
0.1,0.1,20.0,30,18000.71684573696,30,"Apparent_Power,dImean_dt,Imean,Iref_rollmean,Ia,Idiff_ab,Istd,Power_VcIc,Vmean,Vc,Va,Idiff_bc,Ic_rollstd,Idiff_ca,Vdiff_ab,Vstd,is_THD_below_nominal,dIc_dt,dVc_dt,Vb_rollstd,Iref,dVb_dt,Vb_rollmean,dTHD_dt,Ia_Ib_ratio,Ib_Ic_ratio,is_voltage_spike_ab,is_voltage_spike_ca,is_voltage_spike_bc,is_zero_current"
0.1,0.1,50.0,5,-11549.503495297375,21,"dImean_dt,Iref_error,Ic,Power_VbIb,Iref_rollstd,Vb,Va,Idiff_ca,Vdiff_ab,THD,Vstd,THD_rollstd,is_current_surge,dIc_dt,dVc_dt,Vb_rollstd,dVb_dt,Va_rollmean,dIref_dt,THD_rollmean,dIa_dt"
0.1,0.1,50.0,10,-11199.988028569944,28,"Apparent_Power,dImean_dt,Iref_error,Ib_rollmean,Iref_rollmean,Ia,Ib,Idiff_ab,Istd,Power_VaIa,Ib_rollstd,Vb,Vc,Ic_rollstd,Idiff_ca,THD,Vdiff_bc,is_current_imbalanced,is_current_surge,dIc_dt,dVc_dt,Iref,dVb_dt,Va_rollmean,dIref_dt,dTHD_dt,Vc_rollstd,is_voltage_spike_ca"
0.1,0.1,50.0,15,8799.882719269746,22,"Imean,Ia_rollmean,Ib,Power_VaIa,Vmean,Vc,THD,is_THD_below_nominal,is_current_surge,dVc_dt,Vb_rollstd,dVa_dt,Iref,dVb_dt,THD_rollmean,dTHD_dt,Va_rollstd,dIa_dt,Ib_Ic_ratio,is_voltage_spike_ab,is_voltage_spike_bc,is_zero_current"
0.1,0.1,50.0,20,19949.645524775107,21,"Ib_rollmean,Ic,Ia,Ib,Idiff_ab,Ib_rollstd,Vb,Vc,Ia_rollstd,Vdiff_bc,THD_rollstd,dIb_dt,is_current_surge,dVa_dt,Iref,Va_rollmean,Vc_rollstd,Ia_Ib_ratio,Ic_Ia_ratio,dIa_dt,is_voltage_spike_bc"
0.1,0.1,50.0,25,31249.70343993456,25,"Ib_rollmean,Ia_rollmean,Ib,Idiff_ab,Istd,Power_VaIa,Vmean,Vb,Vc,Ic_rollstd,Idiff_ca,THD,Vdiff_bc,Vstd,dIb_dt,dVa_dt,Iref,Vc_rollmean,Vb_rollmean,Va_rollmean,dTHD_dt,Ic_Ia_ratio,Ib_Ic_ratio,is_zero_Iref,is_zero_current"
0.1,0.1,50.0,30,45000.891479578146,30,"Apparent_Power,dImean_dt,Iref_error,Imean,Ic_rollmean,Ib_rollmean,Ic,Istd,Vmean,Iref_rollstd,Ib_rollstd,Idiff_bc,Vdiff_ca,Vdiff_bc,Vstd,dIb_dt,is_current_surge,Iref,Vb_rollmean,Va_rollmean,dIref_dt,THD_rollmean,dTHD_dt,Vc_rollstd,Va_rollstd,Ic_Ia_ratio,dIa_dt,is_voltage_spike_ab,is_voltage_spike_ca,is_zero_current"
0.1,0.1,100.0,5,-17100.024065220332,19,"Imean,Ib_rollmean,Ia_rollmean,Ib,Istd,Power_VaIa,Ib_rollstd,Vb,Vc,Idiff_ca,is_THD_below_nominal,is_current_surge,dIc_dt,Vc_rollmean,Va_rollmean,dIref_dt,Va_rollstd,Ic_Ia_ratio,dIa_dt"
0.1,0.1,100.0,10,-15600.192836721784,26,"Apparent_Power,dImean_dt,Imean,Ic,Ib,Idiff_ab,Power_VbIb,Power_VaIa,Iref_rollstd,Idiff_ca,Ia_rollstd,Vdiff_ab,Vdiff_ca,Vdiff_bc,Vstd,is_THD_below_nominal,dIc_dt,Vb_rollmean,Va_rollmean,dIref_dt,Ia_Ib_ratio,dIa_dt,is_voltage_spike_ab,is_voltage_spike_ca,is_voltage_spike_bc,is_zero_current"
0.1,0.1,100.0,15,21599.894146791543,18,"dImean_dt,Iref_error,Imean,Iref_rollmean,Power_VbIb,Power_VcIc,Vmean,Vb,Vc,Va,Idiff_ca,Ia_rollstd,Vdiff_ab,dVa_dt,dVb_dt,Vb_rollmean,is_voltage_spike_ab,Power_factor"
0.1,0.1,100.0,20,37500.305341707404,25,"Imean,Ia_rollmean,Iref_rollmean,Ic,Idiff_ab,Istd,Power_VaIa,Vb,Vc,Va,Ia_rollstd,Vdiff_ca,Vstd,dVc_dt,Iref,Vc_rollmean,dVb_dt,dIref_dt,Ic_Ia_ratio,is_voltage_spike_ab,is_zero_Iref,Power_factor,is_voltage_spike_ca,is_voltage_spike_bc,is_zero_current"
0.1,0.1,100.0,25,62100.21960550515,27,"dImean_dt,Iref_error,Imean,Ib_rollmean,Iref_rollmean,Ic,Ib,Power_VbIb,Istd,Power_VcIc,Vc,Va,Idiff_bc,Idiff_ca,Ia_rollstd,THD,Vdiff_ca,Vdiff_bc,Vstd,dIb_dt,dVa_dt,THD_rollmean,dTHD_dt,Vc_rollstd,Va_rollstd,dIa_dt,is_voltage_spike_ab"
0.1,0.1,100.0,30,90000.43944072632,30,"Apparent_Power,dImean_dt,Iref_error,Imean,Ic_rollmean,Iref_rollmean,Ic,Ia,Power_VaIa,Iref_rollstd,Ib_rollstd,Vc,Va,Ic_rollstd,Ia_rollstd,Vstd,is_current_imbalanced,dIc_dt,dVc_dt,Iref,Vc_rollmean,Va_rollmean,THD_rollmean,Ia_Ib_ratio,dIa_dt,Ib_Ic_ratio,is_zero_Iref,Power_factor,is_voltage_spike_bc,is_zero_current"
0.1,0.5,0.1,5,-39.38040578722649,26,"Apparent_Power,Ic,Ia,Idiff_ab,Istd,Power_VaIa,Power_VcIc,Ib_rollstd,Idiff_bc,Idiff_ca,Vdiff_bc,Vstd,THD_rollstd,dIb_dt,is_current_surge,dIc_dt,dVa_dt,Vc_rollmean,dIref_dt,Va_rollstd,Ia_Ib_ratio,dIa_dt,Ib_Ic_ratio,is_voltage_spike_ab,is_voltage_spike_ca,is_voltage_spike_bc"
0.1,0.5,0.1,10,-6.162695918074638,23,"Apparent_Power,Imean,Ia_rollmean,Iref_rollmean,Ia,Ib,Idiff_ab,Power_VbIb,Istd,Power_VaIa,Iref_rollstd,Ib_rollstd,Idiff_ca,Ia_rollstd,Vdiff_ca,Vdiff_bc,is_current_imbalanced,Vb_rollstd,Vc_rollmean,Vc_rollstd,Va_rollstd,Ib_Ic_ratio,is_voltage_spike_ca"
0.1,0.5,0.1,15,10.843433982487134,27,"Apparent_Power,dImean_dt,Imean,Ic_rollmean,Iref_rollmean,Idiff_ab,Power_VbIb,Vmean,Iref_rollstd,Ib_rollstd,Vb,Va,THD,Vdiff_bc,Vstd,dIb_dt,dIc_dt,Vb_rollstd,dIref_dt,THD_rollmean,dTHD_dt,Va_rollstd,dIa_dt,is_zero_Iref,is_voltage_spike_ca,is_voltage_spike_bc,is_zero_current"
0.1,0.5,0.1,20,44.47833763341222,25,"Iref_error,Ia_rollmean,Iref_rollmean,Ic,Power_VcIc,Iref_rollstd,Vb,Idiff_bc,Ic_rollstd,Vdiff_ab,THD,Vstd,is_THD_below_nominal,dIb_dt,is_current_surge,dIc_dt,Vc_rollmean,dVb_dt,Va_rollmean,THD_rollmean,dTHD_dt,Ib_Ic_ratio,is_voltage_spike_ab,is_zero_Iref,is_voltage_spike_ca"
0.1,0.5,0.1,25,61.15798842002402,29,"Iref_error,Imean,Ic_rollmean,Ib_rollmean,Ic,Ib,Idiff_ab,Power_VaIa,Ib_rollstd,Vb,Idiff_bc,Idiff_ca,Ia_rollstd,Vdiff_ca,is_current_imbalanced,THD_rollstd,is_current_surge,dIc_dt,dVc_dt,Iref,Va_rollmean,dIref_dt,THD_rollmean,Vc_rollstd,Va_rollstd,Ia_Ib_ratio,Ic_Ia_ratio,is_zero_Iref,is_zero_current"
0.1,0.5,0.1,30,98.65504924106976,30,"Apparent_Power,dImean_dt,Ic_rollmean,Iref_rollmean,Idiff_ab,Power_VbIb,Power_VaIa,Power_VcIc,Iref_rollstd,Ib_rollstd,Vc,Idiff_bc,Ic_rollstd,Vdiff_ab,THD,Vdiff_ca,is_THD_below_nominal,THD_rollstd,is_current_surge,dVc_dt,Iref,Vc_rollmean,Va_rollmean,Vc_rollstd,Va_rollstd,Ic_Ia_ratio,Ib_Ic_ratio,is_voltage_spike_ab,is_zero_Iref,is_voltage_spike_bc"
0.1,0.5,0.5,5,-149.8470617939747,23,"Ic_rollmean,Iref_rollmean,Ib,Idiff_ab,Power_VbIb,Iref_rollstd,Vc,Ia_rollstd,THD,Vdiff_bc,is_THD_below_nominal,is_current_surge,dVc_dt,Vb_rollstd,dIref_dt,dTHD_dt,Ia_Ib_ratio,dIa_dt,is_voltage_spike_ab,is_zero_Iref,Power_factor,is_voltage_spike_ca,is_voltage_spike_bc"
